timestamp,requests,errors,total_latency_ms
2026-02-01T08:00:00,120,2,3600
2026-02-01T08:05:00,135,3,4050
2026-02-01T08:10:00,150,4,4800
2026-02-01T08:15:00,165,5,5200
2026-02-01T08:20:00,180,7,6100
2026-02-01T08:25:00,170,6,5900
2026-02-01T08:30:00,160,4,5400
2026-02-01T08:35:00,155,3,5100
2026-02-01T08:40:00,145,2,4700
2026-02-01T08:45:00,140,2,4500
2026-02-01T08:50:00,150,3,4800
2026-02-01T08:55:00,165,4,5200
2026-02-01T09:00:00,185,6,6000
2026-02-01T09:05:00,200,8,6700
2026-02-01T09:10:00,210,9,7200
